model,feature_set,detector,snr_db,channel,Pd,Pfa_achieved,threshold
MLP,FS3_corr,MLP_FS3_corr,0,awgn,1.0,0.1,0.44745123389221775
MLP,FS3_corr,MLP_FS3_corr,0,rayleigh,1.0,0.1,0.3744178565221282
MLP,FS3_corr,MLP_FS3_corr,0,rician,1.0,0.1,0.4153797583660445
MLP,FS3_corr,MLP_FS3_corr,5,awgn,1.0,0.1,0.3879761063866111
MLP,FS3_corr,MLP_FS3_corr,5,rayleigh,1.0,0.1,0.44767803119484806
MLP,FS3_corr,MLP_FS3_corr,5,rician,1.0,0.1,0.38162034934477873
MLP,FS3_corr,MLP_FS3_corr,10,awgn,1.0,0.1,0.35811418622041735
MLP,FS3_corr,MLP_FS3_corr,10,rayleigh,1.0,0.1,0.36995695855305344
MLP,FS3_corr,MLP_FS3_corr,10,rician,1.0,0.1,0.3931186119326602
SVM,FS4_hybrid,SVM_FS4_hybrid,-20,awgn,0.26666666666666666,0.1,0.43050618393613266
SVM,FS4_hybrid,SVM_FS4_hybrid,-20,rayleigh,0.3333333333333333,0.1,0.34279480580726546
SVM,FS4_hybrid,SVM_FS4_hybrid,-20,rician,0.13333333333333333,0.1,0.5026484277550846
SVM,FS4_hybrid,SVM_FS4_hybrid,-15,awgn,0.4666666666666667,0.1,0.4458283720333061
SVM,FS4_hybrid,SVM_FS4_hybrid,-15,rayleigh,0.43333333333333335,0.1,0.39861962567467374
SVM,FS4_hybrid,SVM_FS4_hybrid,-15,rician,0.3,0.1,0.5273306976811234
SVM,FS4_hybrid,SVM_FS4_hybrid,-10,awgn,0.9666666666666667,0.1,0.37215451963873347
SVM,FS4_hybrid,SVM_FS4_hybrid,-10,rayleigh,0.8333333333333334,0.1,0.3678500951118372
SVM,FS4_hybrid,SVM_FS4_hybrid,-10,rician,0.8333333333333334,0.1,0.3332381103367868
SVM,FS4_hybrid,SVM_FS4_hybrid,-5,awgn,1.0,0.1,0.30036168787388545
SVM,FS4_hybrid,SVM_FS4_hybrid,-5,rayleigh,0.9333333333333333,0.1,0.45180141542989044
SVM,FS4_hybrid,SVM_FS4_hybrid,-5,rician,1.0,0.1,0.4213022461307817
SVM,FS4_hybrid,SVM_FS4_hybrid,0,awgn,1.0,0.1,0.4663626855926953
SVM,FS4_hybrid,SVM_FS4_hybrid,0,rayleigh,1.0,0.1,0.33519366490982805
SVM,FS4_hybrid,SVM_FS4_hybrid,0,rician,1.0,0.1,0.4513652943432983
SVM,FS4_hybrid,SVM_FS4_hybrid,5,awgn,1.0,0.1,0.44026587645717297
SVM,FS4_hybrid,SVM_FS4_hybrid,5,rayleigh,1.0,0.1,0.29516369749199445
SVM,FS4_hybrid,SVM_FS4_hybrid,5,rician,1.0,0.1,0.4099723756704926
SVM,FS4_hybrid,SVM_FS4_hybrid,10,awgn,1.0,0.1,0.5141134477498037
SVM,FS4_hybrid,SVM_FS4_hybrid,10,rayleigh,1.0,0.1,0.3744783049946402
SVM,FS4_hybrid,SVM_FS4_hybrid,10,rician,1.0,0.1,0.37338858155818944
RF,FS4_hybrid,RF_FS4_hybrid,-20,awgn,0.2,0.1,0.39276030454809363
RF,FS4_hybrid,RF_FS4_hybrid,-20,rayleigh,0.26666666666666666,0.1,0.2986234660194635
RF,FS4_hybrid,RF_FS4_hybrid,-20,rician,0.2,0.1,0.341889435543246
RF,FS4_hybrid,RF_FS4_hybrid,-15,awgn,0.5,0.1,0.3487947239096707
RF,FS4_hybrid,RF_FS4_hybrid,-15,rayleigh,0.43333333333333335,0.1,0.33954521033452517
RF,FS4_hybrid,RF_FS4_hybrid,-15,rician,0.43333333333333335,0.1,0.4256985571340626
RF,FS4_hybrid,RF_FS4_hybrid,-10,awgn,1.0,0.1,0.3120278123893798
RF,FS4_hybrid,RF_FS4_hybrid,-10,rayleigh,0.8,0.1,0.31925362131892876
RF,FS4_hybrid,RF_FS4_hybrid,-10,rician,0.7,0.1,0.39702397350391394
RF,FS4_hybrid,RF_FS4_hybrid,-5,awgn,1.0,0.1,0.28402309544396637
RF,FS4_hybrid,RF_FS4_hybrid,-5,rayleigh,0.9333333333333333,0.1,0.31304239343135093
RF,FS4_hybrid,RF_FS4_hybrid,-5,rician,1.0,0.1,0.32035048270600314
RF,FS4_hybrid,RF_FS4_hybrid,0,awgn,1.0,0.1,0.36215736848513636
RF,FS4_hybrid,RF_FS4_hybrid,0,rayleigh,1.0,0.1,0.23572616366644766
RF,FS4_hybrid,RF_FS4_hybrid,0,rician,1.0,0.1,0.33388122521500446
RF,FS4_hybrid,RF_FS4_hybrid,5,awgn,1.0,0.1,0.3815672777799457
RF,FS4_hybrid,RF_FS4_hybrid,5,rayleigh,1.0,0.1,0.3034466680946969
RF,FS4_hybrid,RF_FS4_hybrid,5,rician,1.0,0.1,0.35477946937644
RF,FS4_hybrid,RF_FS4_hybrid,10,awgn,1.0,0.1,0.36869699851163246
RF,FS4_hybrid,RF_FS4_hybrid,10,rayleigh,1.0,0.1,0.2914415625066084
RF,FS4_hybrid,RF_FS4_hybrid,10,rician,1.0,0.1,0.369923023553694
MLP,FS4_hybrid,MLP_FS4_hybrid,-20,awgn,0.23333333333333334,0.1,0.3708820119324547
MLP,FS4_hybrid,MLP_FS4_hybrid,-20,rayleigh,0.3,0.1,0.32171866444015723
MLP,FS4_hybrid,MLP_FS4_hybrid,-20,rician,0.16666666666666666,0.1,0.4495725681369328
MLP,FS4_hybrid,MLP_FS4_hybrid,-15,awgn,0.5333333333333333,0.1,0.357653730558675
MLP,FS4_hybrid,MLP_FS4_hybrid,-15,rayleigh,0.4,0.1,0.3989249093256827
MLP,FS4_hybrid,MLP_FS4_hybrid,-15,rician,0.36666666666666664,0.1,0.464581241395433
MLP,FS4_hybrid,MLP_FS4_hybrid,-10,awgn,1.0,0.1,0.3685261997514173
MLP,FS4_hybrid,MLP_FS4_hybrid,-10,rayleigh,0.8666666666666667,0.1,0.3195507573746493
MLP,FS4_hybrid,MLP_FS4_hybrid,-10,rician,0.8666666666666667,0.1,0.2676948905157216
MLP,FS4_hybrid,MLP_FS4_hybrid,-5,awgn,1.0,0.1,0.27696533307311416
MLP,FS4_hybrid,MLP_FS4_hybrid,-5,rayleigh,0.9,0.1,0.4095342683088767
MLP,FS4_hybrid,MLP_FS4_hybrid,-5,rician,1.0,0.1,0.35868861863576035
MLP,FS4_hybrid,MLP_FS4_hybrid,0,awgn,1.0,0.1,0.4098139389628306
MLP,FS4_hybrid,MLP_FS4_hybrid,0,rayleigh,1.0,0.1,0.28187632799759293
MLP,FS4_hybrid,MLP_FS4_hybrid,0,rician,1.0,0.1,0.35436074569027753
MLP,FS4_hybrid,MLP_FS4_hybrid,5,awgn,1.0,0.1,0.3766433285588185
MLP,FS4_hybrid,MLP_FS4_hybrid,5,rayleigh,1.0,0.1,0.26994740259067485
MLP,FS4_hybrid,MLP_FS4_hybrid,5,rician,1.0,0.1,0.3734524173502142
MLP,FS4_hybrid,MLP_FS4_hybrid,10,awgn,1.0,0.1,0.44655934074244175
MLP,FS4_hybrid,MLP_FS4_hybrid,10,rayleigh,1.0,0.1,0.34996324353200237
MLP,FS4_hybrid,MLP_FS4_hybrid,10,rician,1.0,0.1,0.32225926824985257
